prerequisite_task_id,task_id
PC-WF2-A01,PC-WF2-A02
PC-WF2-A02,PC-WF2-A03
PC-WF2-A01,PC-WF2-C01
PC-WF2-C01,PC-WF2-C02
PC-WF2-C02,PC-WF2-C03
PC-WF2-C03,PC-WF2-K01
PC-WF2-X01,PC-WF2-K01
PC-WF2-I00,PC-WF2-K01
PC-WF2-K01,PC-WF2-K02
PC-WF2-K02,PC-WF2-K03
PC-WF2-K03,PC-WF2-K04
PC-WF2-K04,PC-WF2-K05
PC-WF2-A02,PC-WF2-V01
PC-WF2-C01,PC-WF2-V01
PC-WF2-V01,PC-WF2-V02
PC-WF2-K05,PC-WF2-V02
PC-WF2-I30,PC-WF2-V03
PC-WF2-V03,PC-WF2-V04
PC-WF2-X03,PC-WF2-V04
PC-WF2-I10,PC-WF2-B01
PC-WF2-B01,PC-WF2-B02
PC-WF2-B02,PC-WF2-B03
PC-WF2-B03,PC-WF2-B04
PC-WF2-B04,PC-WF2-S01
PC-WF2-S01,PC-WF2-S02
PC-WF2-S02,PC-WF2-S03
PC-WF2-S03,PC-WF2-S04
PC-WF2-S04,PC-WF2-S05
PC-WF2-S05,PC-WF2-S06
PC-WF2-S06,PC-WF2-S07
PC-WF2-S07,PC-WF2-L01
PC-WF2-L01,PC-WF2-L02
PC-WF2-L02,PC-WF2-L03
PC-WF2-L03,PC-WF2-L04
PC-WF2-L04,PC-WF2-L05
PC-WF2-S07,PC-WF2-R01
PC-WF2-R01,PC-WF2-R02
PC-WF2-R02,PC-WF2-R03
PC-WF2-R03,PC-WF2-R04
PC-WF2-R04,PC-WF2-R05
PC-WF2-A02,PC-WF2-X01
PC-WF2-B04,PC-WF2-X02
PC-WF2-I30,PC-WF2-X03
PC-WF2-I50,PC-WF2-X04
PC-WF2-X02,PC-WF2-Q01
PC-WF2-R05,PC-WF2-Q01
PC-WF2-Q01,PC-WF2-Q02
PC-WF2-Q02,PC-WF2-Q03
PC-WF2-Q03,PC-WF2-Q04
PC-WF2-Q04,PC-WF2-T01
PC-WF2-T01,PC-WF2-T02
PC-WF2-T02,PC-WF2-T03
PC-WF2-T03,PC-WF2-T04
PC-WF2-T04,PC-WF2-T05
PC-WF2-T05,PC-WF2-T06
PC-WF2-R05,PC-WF2-G01
PC-WF2-G01,PC-WF2-G02
PC-WF2-G02,PC-WF2-G03
PC-WF2-L05,PC-WF2-E01
PC-WF2-E01,PC-WF2-E02
PC-WF2-E02,PC-WF2-E03
PC-WF2-C03,PC-WF2-D01
PC-WF2-A03,PC-WF2-D01
PC-WF2-D01,PC-WF2-D02
PC-WF2-D02,PC-WF2-D03
PC-WF2-S07,PC-WF2-D03
PC-WF2-D03,PC-WF2-D04
PC-WF2-T06,PC-WF2-D04
PC-WF2-A03,PC-WF2-I00
PC-WF2-C03,PC-WF2-I00
PC-WF2-V01,PC-WF2-I00
PC-WF2-I00,PC-WF2-I10
PC-WF2-V02,PC-WF2-I10
PC-WF2-I10,PC-WF2-I20
PC-WF2-B04,PC-WF2-I20
PC-WF2-I20,PC-WF2-I30
PC-WF2-S07,PC-WF2-I30
PC-WF2-L05,PC-WF2-I30
PC-WF2-R05,PC-WF2-I30
PC-WF2-T06,PC-WF2-I30
PC-WF2-G03,PC-WF2-I30
PC-WF2-E03,PC-WF2-I30
PC-WF2-D04,PC-WF2-I30
PC-WF2-I30,PC-WF2-I40
PC-WF2-V04,PC-WF2-I40
PC-WF2-I40,PC-WF2-I50
PC-WF2-I50,PC-WF2-I90
PC-WF2-X04,PC-WF2-I90
