task_id,mode,path
PC-WF2-COORD,read,planning/workflow-foundation-v2
PC-WF2-0000,read,planning/workflow-foundation-v2
PC-WF2-A01,write,docs/workflow_foundation_v2/baseline
PC-WF2-A01,write,tests/wf2_acceptance/a
PC-WF2-A01,read,planning/workflow-foundation-v2
PC-WF2-A02,write,docs/workflow_foundation_v2/baseline
PC-WF2-A02,write,tests/wf2_acceptance/a
PC-WF2-A02,read,planning/workflow-foundation-v2
PC-WF2-A03,write,docs/workflow_foundation_v2/baseline
PC-WF2-A03,write,tests/wf2_acceptance/a
PC-WF2-A03,read,planning/workflow-foundation-v2
PC-WF2-C01,write,docs/workflow_foundation_v2/contracts
PC-WF2-C01,write,schemas/workflow_foundation_v2
PC-WF2-C01,write,tests/wf2_acceptance/c
PC-WF2-C01,read,planning/workflow-foundation-v2
PC-WF2-C02,write,docs/workflow_foundation_v2/contracts
PC-WF2-C02,write,schemas/workflow_foundation_v2
PC-WF2-C02,write,tests/wf2_acceptance/c
PC-WF2-C02,read,planning/workflow-foundation-v2
PC-WF2-C03,write,docs/workflow_foundation_v2/contracts
PC-WF2-C03,write,schemas/workflow_foundation_v2
PC-WF2-C03,write,tests/wf2_acceptance/c
PC-WF2-C03,read,planning/workflow-foundation-v2
PC-WF2-K01,write,src/project_control/workflow_core
PC-WF2-K01,write,tests/workflow_core_parity
PC-WF2-K01,write,tests/wf2_acceptance/k
PC-WF2-K01,read,planning/workflow-foundation-v2
PC-WF2-K02,write,src/project_control/workflow_core
PC-WF2-K02,write,tests/workflow_core_parity
PC-WF2-K02,write,tests/wf2_acceptance/k
PC-WF2-K02,read,planning/workflow-foundation-v2
PC-WF2-K03,write,src/project_control/workflow_core
PC-WF2-K03,write,tests/workflow_core_parity
PC-WF2-K03,write,tests/wf2_acceptance/k
PC-WF2-K03,read,planning/workflow-foundation-v2
PC-WF2-K04,write,src/project_control/workflow_core
PC-WF2-K04,write,tests/workflow_core_parity
PC-WF2-K04,write,tests/wf2_acceptance/k
PC-WF2-K04,read,planning/workflow-foundation-v2
PC-WF2-K05,write,src/project_control/workflow_core
PC-WF2-K05,write,tests/workflow_core_parity
PC-WF2-K05,write,tests/wf2_acceptance/k
PC-WF2-K05,read,planning/workflow-foundation-v2
PC-WF2-V01,write,tests/wf2_validation
PC-WF2-V01,write,docs/workflow_foundation_v2/validation
PC-WF2-V01,write,tests/wf2_acceptance/v
PC-WF2-V01,read,planning/workflow-foundation-v2
PC-WF2-V02,write,tests/wf2_validation
PC-WF2-V02,write,docs/workflow_foundation_v2/validation
PC-WF2-V02,write,tests/wf2_acceptance/v
PC-WF2-V02,read,planning/workflow-foundation-v2
PC-WF2-V03,write,tests/wf2_validation
PC-WF2-V03,write,docs/workflow_foundation_v2/validation
PC-WF2-V03,write,tests/wf2_acceptance/v
PC-WF2-V03,read,planning/workflow-foundation-v2
PC-WF2-V04,write,tests/wf2_validation
PC-WF2-V04,write,docs/workflow_foundation_v2/validation
PC-WF2-V04,write,tests/wf2_acceptance/v
PC-WF2-V04,read,planning/workflow-foundation-v2
PC-WF2-B01,write,src/project_control/workflow_binding.py
PC-WF2-B01,write,src/project_control/todo_authority.py
PC-WF2-B01,write,src/project_control/adapters/todo.py
PC-WF2-B01,write,src/project_control/workflow_tools.py
PC-WF2-B01,write,src/project_control/mutation.py
PC-WF2-B01,write,src/project_control/runtime_identity.py
PC-WF2-B01,write,tests/wf2_acceptance/b
PC-WF2-B01,read,planning/workflow-foundation-v2
PC-WF2-B02,write,src/project_control/workflow_binding.py
PC-WF2-B02,write,src/project_control/todo_authority.py
PC-WF2-B02,write,src/project_control/adapters/todo.py
PC-WF2-B02,write,src/project_control/workflow_tools.py
PC-WF2-B02,write,src/project_control/mutation.py
PC-WF2-B02,write,src/project_control/runtime_identity.py
PC-WF2-B02,write,tests/wf2_acceptance/b
PC-WF2-B02,read,planning/workflow-foundation-v2
PC-WF2-B03,write,src/project_control/workflow_binding.py
PC-WF2-B03,write,src/project_control/todo_authority.py
PC-WF2-B03,write,src/project_control/adapters/todo.py
PC-WF2-B03,write,src/project_control/workflow_tools.py
PC-WF2-B03,write,src/project_control/mutation.py
PC-WF2-B03,write,src/project_control/runtime_identity.py
PC-WF2-B03,write,tests/wf2_acceptance/b
PC-WF2-B03,read,planning/workflow-foundation-v2
